lambda_air    l_model     l_deconv   ion
 8213.99      0.055        0.032     Mg II
 8228.93      0.057        0.043     Fe II
 8234.64      0.111        0.049     Mg II
 8287.85      0.103        0.350     Fe II
 8357.18      0.062        0.212     Fe II
 8423.87      0.076        0.102     Fe II
 8450.99      0.160        0.127     Fe II
 8469.22      0.066       -0.050     Fe II
 8490.05      0.124        0.085     Fe II
 8499.56      0.091       -0.034     Fe II
 8508.61      0.051        0.220     Fe II
 8926.64      0.158        0.040     Fe II
 9075.50      0.102        0.074     Fe II
 9077.40      0.080        0.088     Fe II
 9095.07      0.087       -0.007     Fe II
 9122.94      0.202        0.103     Fe II
 9132.36      0.168       -0.007     Fe II
 9155.77      0.071       -0.022     Fe II
 9171.62      0.040        0.045     Fe II
 9175.87      0.169        0.038     Fe II
 9178.09      0.092        0.034     Fe II
 9179.47      0.103        0.032     Fe II
 9187.16      0.086        0.038     Fe II
 9196.90      0.055        0.057     Fe II
 9203.12      0.075        0.120     Fe II
 9204.05      0.093        0.132     Fe II
 9218.25      0.304        0.274     Mg II
 9244.26      0.186        0.151     Mg II
 9251.72      0.080        0.146     Fe II
 9272.16      0.062        0.006     Fe II
 9296.85      0.046        0.028     Fe II
 9297.23      0.102        0.027     Fe II
 9303.59      0.071        0.004     Fe II
 9326.93      0.048       -0.089     Fe II
 9406.67      0.041        0.190     Fe II
 9572.62      0.061        0.140     Fe II
 9661.15      0.041       -0.107     Fe II
 9956.25      0.103        0.088     Fe II
 9997.56      1.000        1.000     Fe II
10173.51      0.081        0.223     Fe II
10402.83      0.042        0.260     Fe II
10501.52      0.836        0.836     Fe II
10546.38      0.096        0.062     Fe II
10685.17      0.000        0.091     Fe II
10686.80      0.000        0.069     Fe II
10686.92      0.000        0.067     Fe II
10749.72      0.042        0.308     Fe II
10826.50      0.060       -0.159     Fe II
10862.65      0.638        0.638     Fe II
10863.50      0.060       -0.159     Fe II
10914.24      0.110       -0.014     Mg II
10951.78      0.078       -0.021     Mg II
11125.57      0.450        0.450     Fe II
11381.00      0.000        0.059     Fe II
11402.00      0.000        0.127     Fe II
